Date,Observers,Experimental_Type,Plot,Pendant_code,CanopyPCover,H1 (cm),T1 (mm),H2,T2,H3,T3,H1,T1,H2,T2,H3,T3,AWC_in_1m,Starflower,Bunchberry,Partridgeberry,Canada mayflower,Red Oak,Red Maple,Spagnum Moss,Black Spruce,Eastern Hemlock,Lowbush Blueberry,Goldthread,Cinnamon Fern,Greater Whipwort,Sasparilla,ILF (Ilex mucronata),AWC,Dewberry,Wintergreen,UNKSEDGE,Swamp Azalea,Sundew,Leatherleaf,Creeping Snowberry,Dewdrop,THINSEDGE,BARE,AWC,WIP,EAH,ILF,BLS,LBB,SAS,REM,Azalea,HBB,Leatherleaf,Cottonwood,He-huckleberry,Bottle #,Redox,pH,GPS Waypoint
,,CC,11,2421919,86.48,29,3,32,5,44,5,23,2,23,3,26,2,67,0,0.03,0,0.03,0.01,0.05,0.6,0,0,0,0,0,0.05,0,0,0.2,0,0,0,0,0,0,0,0,0,0.03,0.07,0,0,0.1,0,0,0,0,0,0.1,0,0,0,12,119,3.77,
,,CC,12,10116549,83.88,29,4,53,10,36,4,35,5,20,3,22,3,15,0,0.1,0.05,0.01,0,0,0.2,0,0,0.1,0.05,0,0,0,0,0.1,0,0.15,0,0,0,0,0.05,0.02,0,0.17,0.05,0,0,0.1,0,0.05,0,0,0,0,0,0,0,13,99,3.74,
,,OC,13,22090640,25.9,38,7,,,,,70,9,67,9,,,1,0,0,0,0,0,0,0.1,0,0,0.05,0,0,0,0,0,0.01,0,0.2,0,0.1,0,0,0,0,0,0.54,0,0,0,0,0.05,0,0,0,0.3,0,0,0.05,0,26,176,3.58,
,,OC,14,22090646,21.48,57,8,87,10,,,111,12,,,,,3,0,0.02,0,0,0,0.05,0.15,0,0,0.05,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.53,0.05,,,0.05,,0.1,,,0.45,,,,,27,186,3.71,
,,CC,15,22090753,93.24,39,5,21,3,19,2,38,4,54,6,27,3,7,0,0,0,0,0,0.02,0.3,0.05,0,0,0.05,0,0,0,0,0.07,0,0.1,0,0,0,0,0,0,0,0.41,0.05,,0.01,,0.05,,,,,,,,,28,187,3.7,
,,OC,16,22090643,69.58,51,7,70,8,78,10,35,5,67,9,31,4,17,0,0,0,0,0,0.07,0.1,0,0,0.1,0.1,0.05,0,0,0,0.05,0,0.2,0,0,0,0,0,0,0,0.33,0.05,,,,,0.05,,,,0.03,,,,29,191,3.51,
,,CC,17,22090757,89.6,23,3,43,5,22,3,42,6,45,5,32,3,6,0,0.1,0,0.03,0,0.03,0.2,0,0,0,0.05,0.02,0.2,0.02,0,0.05,0,0,0,0,0,0,0,0,0,0.3,0.03,,0.02,0.03,0.01,,,,,,,,,30,201,3.77,
,,CC,18,22090644,90.64,27,3,51,5,43,4,24,2,28,3,15,1,12,0,0,0,0,0,0.03,0.3,0,0,0.02,0,0.05,0.2,0,0,0.05,0,0,0,0,0,0,0,0,0,0.35,0.03,,,,,,,,,0.03,,,,31,217,3.73,
,,OC,19,22090749,59.96,32,3,26,3,16,1,35,3,,,,,4,0,0,0,0,0,0.04,0.78,0,0,0.1,0,0,0,0,0,0.04,0,0.04,0,0,0,0,0,0,0,0,,,,0.05,,,,,0.3,0.03,0.1,,,32,197,3.55,
,,CC,20,22090748,87.78,16,9,17,4,18,2,22,3,18,2,19,2,6,0,0,0,0,0,0,0.4,0.02,0,0,0,0.02,0,0,0.02,0.05,0,0,0,0,0,0,0,0,0,0.49,0.1,,,0.05,0.02,,,,,0.03,,,,33,227,3.49,
,,OC,21,22090639,45.92,48,8,47,8,,,84,11,89,12,,,2,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.03,0,0,0.4,0,0,0.04,0,0,0,0.23,0.04,,,,,,,0.1,0.2,0.4,0.1,,,34,177,4.1,
,,OC,22,22090641,19.66,28,4,20,3,32,5,,,,,,,4,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.11,0,0,0.3,0,0,0.15,0,0,0,0.04,,,,,,,,,0.1,0.1,0.3,,0.3,35,190,4.2,
,,OC,23,22090638,8.22,79,13,143,14,45,6,,,,,,,5,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.1,0,0,0.05,0,0,0.15,0,0,0,0,0.01,,,,0.02,,,,0.05,0.1,0.1,,0.1,36,210,4.3,
,,OC,24,22090756,41.5,113,17,,,,,34,9,39,8,,,3,0,0,0,0,0,0,0.2,0.04,0,0.05,0,0,0,0,0,0.03,0,0.3,0,0,0,0,0,0,0,0.38,0.1,,,0.05,0.1,,,,0.1,,,,,37,182,3.6,
,,Control,C1,10116550,86.22,,,,,,,,,,,,,0,0,0,0.1,0,0,0.05,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.05,0,0,0.05,0,0,0,0,,,11,110,3.9,
,,Control,C2,9800168,87,,,,,,,,,,,,,0,0.02,0,0,0,0,0.04,0.15,0,0,0.03,0.07,0,0.15,0,0.03,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,,,14,111,3.68,
,,Control,C3,22090755,78.94,,,,,,,,,,,,,0,0,0.07,0.05,0.03,0,0.03,0.4,0,0,0,0.1,0.02,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,16,180,4.23,
,,Control,C4,22090645,86.48,,,,,,,,,,,,,0,0,0,0,0.02,0,0.02,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,,,,,,,,,,,,,,17,200,4.15,
,,Control,C5,22090758,78.68,,,,,,,,,,,,,0,0.02,0,0,0.02,0,0.03,0,0.02,0.02,0,0.15,0.04,0.4,0,0,0,0,0,0,0,0,0,0,0.02,0,0.28,,,,,,,,,,,,,,18,266,3.95,
,,Control,C6,22090754,92.2,,,,,,,,,,,,,0,0,0,0.05,0.06,0.01,0.01,0.05,0,0.03,0,0.04,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.6,0.1,,,,,,,,,,,,,,19,288,4.43,
,,Control,C7,22090637,91.16,,,,,,,,,,,,,0,0,0,0,0.05,0,0.04,0.25,0,0,0,0.05,0,0.1,0,0.05,0,0,0,0,0,0,0,0,0,0.4,0.06,,,,,,,,,,,,,,20,286,4.25,
,,Control,C8,22090747,84.14,,,,,,,,,,,,,0,0,0.1,0,0,0.02,0.01,0.7,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0.07,,,,0.1,,,,,,,,,,21,161,4.26,
,,Control,C9,22090751,79.46,,,,,,,,,,,,,0,0,0.1,0,0.05,0.03,0,0.6,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0.1,0.08,,,,0.12,0.02,,,,,,,,,22,157,4.13,
,,Control,C10,22090752,89.34,,,,,,,,,,,,,0,0,0,0,0,0,0.04,0.4,0,0.03,0,0,0,0.3,0,0.01,0,0,0,0,0,0,0,0.1,0,0,0.12,,,,,,,,,,,,,,23,163,4.04,
,,Control,C11,22090750,87,,,,,,,,,,,,,0,0.01,0.05,0,0,0,0.05,0.5,0,0,0,0.05,0,0.15,0.02,0,0,0,0,0,0,0,0,0.07,0,0,0.1,,,0.1,0.05,,,,,,,,,,24,184,3.9,
,,Control,C12,22090642,89.86,,,,,,,,,,,,,0,0,0,0,0.05,0.02,0.02,0.15,0,0,0.05,0.4,0,0,0,0.02,0,0,0.05,0,0,0,0,0,0,0,0.24,,,,,,,,0.05,,,,,,25,152,3.57,
,,,BOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,142,3.48,
